"","MONTH","WKDY_IM","HOUR_IM","REL_ROAD","LGTCON_IM","WEATHR_IM","VTRAFWAY","VSURCOND","VTRAFCON","SPEEDREL","PCRASH1_IM","PBSEX","PBCWALK","PBSWALK","PEDPOS","MOTMAN","PEDCGP","MDRDSTRD","DRIMPAIR","MVISOBSC","MTM_CRSH","NMIMPAIR","MPR_ACT","INJ_SEV","PBAGE","BDYcats","SPcats","LIMcats"
"47","wint","wkday","aftern","onRoad","dawnDusk","clear","twoWayNoDivide","dry","lightSignal","no","1","male","0","0","crossWalk","straight","740","no","no","no","11","tempImpair","3","FALSE","31_45","lightTruck","unk","30"
"50","wint","wkday","morn","onRoad","day","clear","twoWayNoDivide","dry","lightSignal","no","11","female","1","0","crossWalk","left","790","yes","no","no","0","notImpair","3","TRUE","31_45","otherTruck","unk","40"
"51","wint","fri","nightEarly","onRoad","darkNotLgt","rain","twoWayNoDivide","wet","none","no","1","female","0","1","lane","unk","740","no","no","no","11","notImpair","3","TRUE","31_45","auto","15_20","25"
"53","wint","wkday","nightEarly","onRoad","darkLgt","clear","twoWayNoDivide","dry","none","no","15","male","0","0","lane","unk","750","yes","no","no","12","notImpair","3","TRUE","46_60","auto","unk","45"
"54","wint","sun","aftern","onRoad","day","clear","twoWayNoDivide","dry","none","no","1","male","0","0","lane","unk","400","no","no","no","9","notImpair","5","FALSE","16_30","lightTruck","unk","30"
"55","wint","fri","nightEarly","onRoad","darkNotLgt","clear","twoWayDivide","dry","none","no","1","male","0","0","lane","unk","990","no","no","no","0","notImpair","99","TRUE","75plus","auto","55_200","70"
"56","wint","sun","nightEarly","onRoad","darkNotLgt","cloud","twoWayNoDivide","dry","physSign","no","1","male","0","0","lane","unk","990","yes","no","no","4","tempImpair","8","TRUE","31_45","auto","unk","unk"
"57","wint","sat","nightEarly","onRoad","darkLgt","clear","twoWayDivide","dry","none","unk","1","female","0","0","lane","unk","750","yes","no","no","2","notImpair","3","TRUE","46_60","auto","unk","40"
"58","wint","sat","nightLate","offRoad","darkNotLgt","rain","twoWayNoDivide","wet","none","no","1","male","0","0","unk","unk","990","no","no","no","0","notImpair","12","TRUE","16_30","auto","unk","55"
"60","wint","sun","nightEarly","onRoad","day","clear","twoWayNoDivide","dry","none","no","1","male","0","0","lane","unk","740","yes","no","yes","11","notImpair","3","FALSE","0_15","auto","unk","30"
"62","wint","sun","nightLate","onRoad","darkNotLgt","clear","twoWayDivide","dry","lightSignal","no","1","male","0","0","inters","straight","750","no","no","no","2","tempImpair","3","TRUE","46_60","auto","35_40","45"
"63","wint","sun","morn","onRoad","day","clear","twoWayNoDivide","wetOther","none","no","1","male","0","1","lane","unk","750","no","no","no","12","physImpair","3","TRUE","61_75","utility","30_35","35"
"64","wint","wkday","nightEarly","onRoad","darkLgt","clear","unk","dry","lightSignal","no","11","male","1","0","crossWalk","left","790","no","no","no","0","notImpair","3","FALSE","16_30","lightTruck","5_10","40"
"66","wint","wkday","morn","onRoad","day","clear","twoWayDivide","dry","lightSignal","no","11","male","1","0","crossWalk","left","790","no","no","no","0","notImpair","3","FALSE","0_15","auto","unk","40"
"67","wint","wkday","morn","onRoad","day","clear","twoWayDivide","dry","lightSignal","no","11","female","1","0","crossWalk","left","790","no","no","no","0","notImpair","3","FALSE","31_45","auto","unk","40"
"68","wint","sat","nightEarly","onRoad","darkLgt","clear","unk","dry","none","no","1","male","0","0","lane","unk","740","no","no","no","2","tempImpair","3","FALSE","31_45","lightTruck","20_25","25"
"69","wint","sat","nightEarly","onRoad","darkLgt","clear","unk","dry","none","no","1","male","0","0","lane","unk","740","no","no","no","11","tempImpair","3","FALSE","31_45","lightTruck","20_25","25"
"70","wint","wkday","aftern","onRoad","day","clear","unk","dry","none","no","1","male","0","0","lane","unk","310","yes","no","yes","0","notImpair","8","FALSE","16_30","heavyTruck","unk","25"
"71","wint","fri","nightEarly","offRoad","darkNotLgt","clear","twoWayNoDivide","dry","none","unk","1","female","0","0","shoulder","unk","990","yes","no","yes","5","notImpair","11","FALSE","31_45","auto","20_25","25"
"72","wint","wkday","nightEarly","onRoad","darkUnkLgt","clear","twoWayNoDivide","dry","none","unk","1","female","0","0","lane","unk","990","yes","no","no","4","notImpair","3","FALSE","16_30","auto","unk","35"
"74","wint","sat","aftern","offRoad","day","clear","unk","wetOther","none","no","10","female","0","0","shoulder","right","990","no","no","no","0","notImpair","9","FALSE","46_60","utility","unk","25"
"76","wint","wkday","nightEarly","onRoad","darkNotLgt","clear","unk","dry","none","no","4","female","0","0","lane","unk","350","no","no","no","0","notImpair","11","FALSE","0_15","auto","unk","25"
